DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/14/2018,0:00,QUEENS,11435,40.69569,-73.81072,"(40.69569, -73.81072)",SANDERS PLACE                   ,97 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3880795,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,0:00,,,40.670715,-73.91697,"(40.670715, -73.91697)",EASTERN PARKWAY                 ,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3880664,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,0:05,BRONX,10459,40.82097,-73.89242,"(40.82097, -73.89242)",,,1018      EAST 163 STREET               ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3880739,PASSENGER VEHICLE,TAXI,,,
04/14/2018,0:05,,,40.75855,-73.924866,"(40.75855, -73.924866)",34 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881098,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,0:10,BROOKLYN,11218,40.63367,-73.978775,"(40.63367, -73.978775)",DAHILL ROAD                     ,17 AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,3882384,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,0:12,,,,,,,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880078,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,0:13,,,40.8233,-73.88003,"(40.8233, -73.88003)",BRUCKNER EXPRESSWAY             ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3881147,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,0:20,BROOKLYN,11230,40.63525,-73.96519,"(40.63525, -73.96519)",,,575       ARGYLE ROAD                   ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3880559,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
04/14/2018,0:20,BROOKLYN,11222,40.73046,-73.9515,"(40.73046, -73.9515)",MC GUINNESS BOULEVARD           ,GREENPOINT AVENUE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3881345,TAXI,PASSENGER VEHICLE,,,
04/14/2018,0:30,BROOKLYN,11237,40.705246,-73.9297,"(40.705246, -73.9297)",KNICKERBOCKER AVENUE            ,THAMES STREET,,1,0,1,0,0,0,0,0,,,,,,3882081,,,,,
04/14/2018,0:30,,,40.654457,-73.90878,"(40.654457, -73.90878)",LINDEN BOULEVARD                ,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,3880432,TAXI,TAXI,,,
04/14/2018,0:35,QUEENS,11434,,,,,,154-18    ROCKAWAY BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,,,,,3880478,PASSENGER VEHICLE,,,,
04/14/2018,0:40,MANHATTAN,10024,40.784534,-73.9736,"(40.784534, -73.9736)",COLUMBUS AVENUE                 ,WEST 83 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3881279,TAXI,TAXI,,,
04/14/2018,0:40,QUEENS,11418,40.696384,-73.81704,"(40.696384, -73.81704)",ATLANTIC AVENUE                 ,132 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Unsafe Speed,,,,3881322,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,0:40,,,40.696167,-73.8045,"(40.696167, -73.8045)",LIBERTY AVENUE                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3880797,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,0:45,BROOKLYN,11234,40.626072,-73.923744,"(40.626072, -73.923744)",AVENUE K                        ,EAST 54 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881954,PASSENGER VEHICLE,,,,
04/14/2018,0:45,QUEENS,11354,40.764347,-73.82595,"(40.764347, -73.82595)",NORTHERN BOULEVARD              ,BOWNE STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3880839,TAXI,,,,
04/14/2018,0:45,QUEENS,11411,40.69251,-73.73744,"(40.69251, -73.73744)",118 AVENUE                      ,224 STREET,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3880008,PASSENGER VEHICLE,,,,
04/14/2018,0:45,,,40.719055,-73.8332,"(40.719055, -73.8332)",GRAND CENTRAL PKWY              ,,,1,0,0,0,0,0,1,0,Following Too Closely,Reaction to Other Uninvolved Vehicle,,,,3880074,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,0:46,BRONX,10453,40.84797,-73.92388,"(40.84797, -73.92388)",,,1600      SEDGWICK AVENUE               ,8,0,0,0,0,0,8,0,Unsafe Speed,,,,,3882243,PASSENGER VEHICLE,,,,
04/14/2018,0:50,BROOKLYN,11249,40.718307,-73.95724,"(40.718307, -73.95724)",,,164       BEDFORD AVENUE                ,1,0,1,0,0,0,0,0,Driver Inexperience,,,,,3881348,PASSENGER VEHICLE,,,,
04/14/2018,0:50,,,40.723835,-73.97357,"(40.723835, -73.97357)",FDR DRIVE                       ,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,3880674,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,0:54,MANHATTAN,10017,40.751194,-73.975494,"(40.751194, -73.975494)",,,150       EAST 42 STREET                ,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3881121,TAXI,TAXI,,,
04/14/2018,10:00,MANHATTAN,10036,,,,WEST 47 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3882463,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,10:10,,,40.76242,-73.82752,"(40.76242, -73.82752)",UNION STREET                    ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3881749,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/14/2018,10:12,,,,,,12 AVENUE                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3880636,PASSENGER VEHICLE,GG,,,
04/14/2018,10:20,,,40.730988,-73.74826,"(40.730988, -73.74826)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880588,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,10:25,MANHATTAN,10002,40.720825,-73.984184,"(40.720825, -73.984184)",,,17        CLINTON STREET                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3880526,TK,PASSENGER VEHICLE,,,
04/14/2018,10:25,MANHATTAN,10036,40.760403,-73.98748,"(40.760403, -73.98748)",8 AVENUE                        ,WEST 47 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881453,PASSENGER VEHICLE,,,,
04/14/2018,10:25,,,40.84932,-73.945145,"(40.84932, -73.945145)",HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3881696,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,10:30,BROOKLYN,11209,40.627186,-74.026566,"(40.627186, -74.026566)",80 STREET                       ,4 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3880503,TK,SPORT UTILITY / STATION WAGON,,,
04/14/2018,10:30,,,40.8205,-73.81183,"(40.8205, -73.81183)",THROGS NECK EXPRESSWAY          ,MILES AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3881582,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,10:30,,,40.664997,-73.84406,"(40.664997, -73.84406)",BELT PARKWAY                    ,,,4,0,0,0,0,0,4,0,Tire Failure/Inadequate,Unspecified,,,,3880631,CONV,SPORT UTILITY / STATION WAGON,,,
04/14/2018,10:35,BRONX,10459,40.82536,-73.898834,"(40.82536, -73.898834)",,,1070      STEBBINS AVENUE               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3880759,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,10:37,BRONX,10459,40.822117,-73.89689,"(40.822117, -73.89689)",WESTCHESTER AVENUE              ,INTERVALE AVENUE,,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3880742,PASSENGER VEHICLE,,,,
04/14/2018,10:45,BROOKLYN,11233,40.676292,-73.91014,"(40.676292, -73.91014)",,,2274      ATLANTIC AVENUE               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3880749,SPORT UTILITY / STATION WAGON,,,,
04/14/2018,10:45,QUEENS,11434,40.681473,-73.784676,"(40.681473, -73.784676)",LAKEVIEW BOULEVARD EAST         ,119 AVENUE,,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,,,,3880683,BICYCLE,SPORT UTILITY / STATION WAGON,,,
04/14/2018,10:50,,,,,,GRANT CIRCLE                    ,WESTCHESTER AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880512,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,10:51,MANHATTAN,10032,40.83089,-73.941376,"(40.83089, -73.941376)",SAINT NICHOLAS AVENUE           ,WEST 155 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3881699,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2018,10:55,,,40.789577,-73.78414,"(40.789577, -73.78414)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3880842,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,10:58,,,40.678722,-73.952995,"(40.678722, -73.952995)",BEDFORD AVENUE                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3881032,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2018,11:00,BROOKLYN,11220,40.636826,-74.011765,"(40.636826, -74.011765)",60 STREET                       ,7 AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,,,3880712,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/14/2018,11:00,QUEENS,11417,40.672146,-73.84318,"(40.672146, -73.84318)",PITKIN AVENUE                   ,CROSS BAY BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3880621,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
04/14/2018,11:00,,,40.762177,-73.96613,"(40.762177, -73.96613)",EAST 60 STREET                  ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3882090,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
04/14/2018,11:00,,,,,,NORTHERN BOULEVARD              ,CLEARVIEW EXPRESSWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880590,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:00,,,40.591324,-74.16495,"(40.591324, -74.16495)",,,2325      RICHMOND AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3880647,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2018,11:00,BROOKLYN,11210,40.625835,-73.935356,"(40.625835, -73.935356)",AVENUE K                        ,EAST 42 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,,3882118,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
